"type","listed_in","release_year","total_titles"
Movie,Cult Movies,1991,1
Movie,Independent Movies,1967,1
Movie,Sci-Fi & Fantasy,1990,1
Movie,Music & Musicals,1986,1
Movie,Children & Family Movies,1997,1
TV Show,Classic & Cult TV,1967,1
Movie,Children & Family Movies,1973,1
Movie,Sports Movies,1996,1
TV Show,Science & Nature TV,2008,1
Movie,Children & Family Movies,1980,1
TV Show,Classic & Cult TV,2016,1
TV Show,Crime TV Shows,2004,1
Movie,Thrillers,1991,1
Movie,Children & Family Movies,1968,1
Movie,Comedies,1968,1
Movie,Music & Musicals,1975,1
Movie,Independent Movies,2003,1
Movie,Cult Movies,2009,1
TV Show,Kids' TV,1979,1
Movie,Sports Movies,1980,1
Movie,Music & Musicals,1966,1
Movie,Documentaries,2004,1
TV Show,TV Comedies,2002,1
Movie,Sci-Fi & Fantasy,1956,1
Movie,Sci-Fi & Fantasy,1980,1
TV Show,TV Sci-Fi & Fantasy,2000,1
Movie,Comedies,1978,1
Movie,Cult Movies,1974,1
Movie,Romantic Movies,1969,1
Movie,Cult Movies,1995,1
Movie,Anime Features,1998,1
Movie,Cult Movies,2001,1
Movie,Horror Movies,1981,1
TV Show,TV Shows,2006,1
TV Show,Reality TV,1993,1
TV Show,Classic & Cult TV,2010,1
Movie,Independent Movies,1985,1
Movie,Horror Movies,1995,1
TV Show,Kids' TV,1992,1
TV Show,British TV Shows,1974,1
Movie,Music & Musicals,1989,1
Movie,Romantic Movies,1974,1
Movie,Children & Family Movies,1977,1
TV Show,Classic & Cult TV,2006,1
Movie,Anime Features,1988,1
Movie,Music & Musicals,1958,1
TV Show,TV Dramas,1993,1
Movie,Romantic Movies,1960,1
Movie,Stand-Up Comedy,1998,1
TV Show,Kids' TV,1995,1
TV Show,TV Shows,2015,1
TV Show,Teen TV Shows,2012,1
Movie,Classic Movies,1961,1
TV Show,Kids' TV,1981,1
TV Show,TV Mysteries,2007,1
TV Show,TV Thrillers,2008,1
TV Show,Anime Series,1998,1
TV Show,TV Sci-Fi & Fantasy,2004,1
Movie,Comedies,1971,1
Movie,Documentaries,1973,1
TV Show,Stand-Up Comedy & Talk Shows,2013,1
Movie,Independent Movies,2001,1
TV Show,International TV Shows,1998,1
TV Show,Anime Series,2007,1
Movie,Romantic Movies,1973,1
Movie,International Movies,1956,1
Movie,Sports Movies,1982,1
Movie,Classic Movies,1969,1
Movie,Action & Adventure,1963,1
TV Show,Kids' TV,2002,1
Movie,Action & Adventure,1962,1
TV Show,TV Action & Adventure,2007,1
Movie,Comedies,1972,1
TV Show,TV Thrillers,2014,1
Movie,Anime Features,1997,1
TV Show,TV Comedies,1977,1
TV Show,TV Comedies,1990,1
Movie,LGBTQ Movies,1998,1
Movie,Documentaries,2000,1
TV Show,TV Comedies,2000,1
Movie,Cult Movies,1983,1
Movie,Music & Musicals,1976,1
TV Show,Reality TV,1988,1
TV Show,Teen TV Shows,1998,1
Movie,Classic Movies,1978,1
Movie,Music & Musicals,1971,1
